local,codigo,Valor mediano das vendas por m2
Corroios,1B0151005,2214
Fernão Ferro,1B0151006,2369
"União das freguesias do Seixal, Arrentela e Aldeia de Paio Pires",1B0151007,2229
Sesimbra,1B01511,2295
Quinta do Conde,1B0151103,2188
Sesimbra (Castelo),1B0151101,2300
Sesimbra (Santiago),1B0151102,3725
Setúbal,1B01512,2036
Gâmbia-Pontes-Alto da Guerra,1B0151207,2261
Sado,1B0151208,1983
Setúbal (São Sebastião),1B0151205,1874
União das freguesias de Azeitão (São Lourenço e São Simão),1B0151209,2415
"União das freguesias de Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça)",1B0151210,2166
Alentejo,1C,862
Alentejo Litoral,1C1,1741
Alcácer do Sal,1C11501,1475
Grândola,1C11505,1877
Odemira,1C10211,1379
Santiago do Cacém,1C11509,1751
Sines,1C11513,2035
