local,codigo,"População residente (N.º) nos alojamentos familiares clássicos por Local de residência à data dos Censos [2021] (NUTS - 2013), Época de construção (antes 1919; 2011-2021) e Tipo de entidade proprietária; Decenal"
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",131217,35891
União das freguesias de Lordelo do Ouro e Massarelos,131218,27598
Póvoa de Varzim,1313,63797
Balazar,131305,2472
Estela,131307,2284
Laundos,131308,1937
Rates,131311,2413
"União das freguesias da Póvoa de Varzim, Beiriz e Argivai",131315,35275
União das freguesias de Aguçadoura e Navais,131314,5352
"União das freguesias de Aver-o-Mar, Amorim e Terroso",131313,14064
Santa Maria da Feira,0109,135765
Argoncilhe,010901,8140
Arrifana,010902,6307
Escapães,010904,3276
Fiães,010907,7021
Fornos,010908,3433
Lourosa,010913,8003
Milheirós de Poiares,010914,3549
Mozelos,010916,7241
Nogueira da Regedoura,010917,5723
Paços de Brandão,010919,4775
Rio Meão,010921,4811
Romariz,010922,2728
Sanguedo,010924,3373
Santa Maria de Lamas,010925,4709
São João de Ver,010926,10927
São Paio de Oleiros,010918,3605
União das freguesias de Caldas de São Jorge e Pigeiros,010932,3658
"União das freguesias de Canedo, Vale e Vila Maior",010933,8847
"União das freguesias de Lobão, Gião, Louredo e Guisande",010934,9600
"União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo",010935,19579
União de freguesias de São Miguel de Souto e Mosteirô,010936,6460
Santo Tirso,1314,66842
Agrela,131401,1486
Água Longa,131402,2341
Aves,131405,7861
Monte Córdova,131413,3826
Negrelos (São Tomé),131430,3755
Rebordões,131416,3100
Reguenga,131418,1427
Roriz,131419,3242
"União das freguesias de Areias, Sequeiró, Lama e Palmeira",131433,6254
União das freguesias de Carreira e Refojos de Riba de Ave,131435,2036
União das freguesias de Lamelas e Guimarei,131436,1563
"União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães",131437,20081
Vila Nova do Campo,131434,6283
Vilarinho,131432,3587
São João da Madeira,0116,21933
São João da Madeira,011601,21933
Trofa,1318,38295
Covelas,131806,1459
Muro,131808,1829
União das freguesias de Alvarelhos e Guidões,131809,4744
União das freguesias de Bougado (São Martinho e Santiago),131810,21226
União das freguesias de Coronado (São Romão e São Mamede),131811,9037
Vale de Cambra,0119,20982
Arões,011901,1169
Cepelos,011903,1136
Junqueira,011905,834
Macieira de Cambra,011906,4309
Roge,011907,1540
São Pedro de Castelões,011902,6688
"União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho",011910,5306
Valongo,1315,94185
Alfena,131501,14268
Ermesinde,131503,38902
União das freguesias de Campo e Sobrado,131506,15238
Valongo,131505,25777
Vila do Conde,1316,79464
Árvore,131602,5533
Aveleda,131603,1224
Azurara,131604,2334
Fajozes,131607,1315
Gião,131610,1659
Guilhabreu,131611,2187
Junqueira,131612,1883
Labruge,131613,2951
Macieira da Maia,131614,2391
Mindelo,131616,3987
Modivas,131617,1743
"União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada",131631,2574
União das freguesias de Fornelo e Vairão,131632,2411
União das freguesias de Malta e Canidelo,131633,2221
União das freguesias de Retorta e Tougues,131634,2035
União das freguesias de Rio Mau e Arcos,131635,2623
União das freguesias de Touguinha e Touguinhó,131636,3212
União das freguesias de Vilar e Mosteiró,131637,2398
Vila Chã,131627,3400
Vila do Conde,131628,28823
Vilar de Pinheiro,131630,2560
Vila Nova de Gaia,1317,301753
Arcozelo,131701,15056
Avintes,131702,10780
Canelas,131703,13918
Canidelo,131704,28021
Madalena,131709,10458
Oliveira do Douro,131712,22452
São Félix da Marinha,131717,13476
União das freguesias de Grijó e Sermonde,131725,11734
União das freguesias de Gulpilhares e Valadares,131726,21977
União das freguesias de Mafamude e Vilar do Paraíso,131727,52491
União das freguesias de Pedroso e Seixezelo,131728,20114
"União das freguesias de Sandim, Olival, Lever e Crestuma",131729,15953
União das freguesias de Santa Marinha e São Pedro da Afurada,131730,33697
União das freguesias de Serzedo e Perosinho,131731,13683
Vilar de Andorinho,131723,17943
Alto Tâmega,11B,82008
Boticas,1702,4826
Alturas do Barroso e Cerdedo,170217,389
Ardãos e Bobadela,170218,463
Beça,170203,778
Boticas e Granja,170219,1367
"Codessoso, Curros e Fiães do Tâmega",170220,256
Covas do Barroso,170208,191
Dornelas,170210,274
Pinho,170213,328
Sapiãos,170215,397
Vilar e Viveiro,170221,383
Chaves,1703,36607
Águas Frias,170301,607
Anelhe,170302,444
Bustelo,170305,449
Cimo de Vila da Castanheira,170309,338
Curalha,170310,416
Ervededo,170312,563
